Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
EMC05692,EASTMINCOM ,REGION XI,DAVAO ORIENTAL ,INTERCEPTION,10ID ,10ID3-TOC-0105-88-12 ,30 May 2012,"On 302330 May 2012, Belated report: On 302330 April 2012, combined elements of 67IB and Task Force Davao Oriental headed by COL REUBEN S BASIAO INF (GSC) PA, CO, 67IB, 10ID, PA intercepted one (1) Sadam truck bearing plate Nr YDW 813 full of Lawaan Logs along national Highway at Sitio Tawid, Brgy Taytayan, Cateel, DOR.  Action Taken:",,,,,,,,"Said cargo truck and Lawaan logs was turned-over to DENR Office, Brgy Lambajon, Baganga, DOR for proper disposition.              For information.   ",
EMC05706,EASTMINCOM ,REGION 13 CARAGA,COMPOSTELA VALLEY PROV ,INTERCEPTION,10ID ,10ID3-TOC-0305-89-12 ,04 May 2012,"On 022000 May 2012, On or about 022205  May 2012, combine elements of 71st IB and PNP Pantukan MPS composed of one (1) section from HSVC / 71ST IB led by Sgt Balutoc and one (1) section from B/ 71IB led  by Sgt Peralta together with one (1) team of PNP from Pantukan MPS under PI JETNAND LOUIE D CARILLO intercepted one (1) Mini Dump Truck bearing Plate nr RLG 737 and  recovered / confiscated 12- Improvised Landmines (7.5 inches in diameter) and other incendiary devices inside the vehicle while conducting joined checkpoint operations at vic 51N ZJ 19844 88911 Town site, Brgy Kingking, Pantukan, Compostela Valley Province. Accordingly, the vehicle was driven by a certain OLIVER BOLUSAN Y DAGONDONG, 35 yrs old, professional driver and resident of Purok # 5, Brgy Caramcam District, Mangagoy, Bislig City.",,,,,,,"Accordingly, the troops proceeded to the mentioned area and looked for the suspect who immediately left the area on board a single black-colored motorcycle XRM 125 with plate number GB9430. Consequently, the troops conducted pursuit operations and successfully apprehended the suspect positively identified as Mr Saiming Patebengan, 20 years old and a resident of Brgy Tolosa, Cabadbaran City. Found in the possession of Mr Patebengan were six sachets containing shabu.  Result:  Apprehended a certain Mr Saiming Patebengan Recovered:  Six (6) sachets containing shabu Action Taken: The suspect was brought to Los Angeles Brgy Hall and subsequently turned over to P/Chief Inspector Gaudioso Villamor Cajutol Jr, Officer-in-Charge, Police Station 4, Ampayon, Butuan City for the filing of appropriate criminal charges.  EASTMINCOM (CARAGA) AGUSAN DEL NORTE (APPREHENSION) Ref: 4ID Report RN: OPNS 0405-  763 - 2012     dtd 04 May 2012 On 041115 May 2012, One (1) squad from 8SFC, 3SFBn led by SSg  Renato A Calumpit 786625 (Inf) PA on board one (1) KM450 truck while travelling towards Headquarters, 8SFC in Brgy Cuyago, Jabonga, Agusan del Norte were flagged down by a concerned citizen who reported the presence of a suspected drug pusher at vicinity Brgy Los Angeles, Butuan City.  Other Details: Accordingly, the troops proceeded to the mentioned area and looked for the suspect who immediately left the area on board a single black-colored motorcycle XRM 125 with plate number GB9430. Consequently, the troops conducted pursuit operations and successfully apprehended the suspect positively identified as Mr Saiming Patebengan, 20 years old and a resident of Brgy Tolosa, Cabadbaran City. Found in the possession of Mr Patebengan were six sachets containing shabu.  Result:  Apprehended a certain Mr Saiming Patebengan Recovered:  Six (6) sachets containing shabu Action Taken: The suspect was brought to Los Angeles Brgy Hall and subsequently turned over to P/Chief Inspector Gaudioso Villamor Cajutol Jr, Officer-in-Charge, Police Station 4, Ampayon, Butuan City for the filing of appropriate criminal charges. ","1. LTC JERRY T BORJA INF (GSC) PA,CO, 71IB and 1LT JOEVANI G TOLEDO (INF) PA, operations officer of 71IB proceeded to the area to assist the situation. 2. The apprehended driver and recovered items are in the custody of Pantukan mps for investigation and proper disposition. 3. CPT SANGGACALA, Bn S7 of 71IB proceeded to Pantukan MPS to document the said incident. 4. The apprehended driver is undergoing investigation with Pantukan MPS while recovered items are kept as evidence for filling appropriate charges.  Progress report to follow EMC05712   EASTMINCOM (XIII (CARAGA)) AGUSAN DEL NORTE (APPREHENSION) Ref: 4ID Report RN: OPNS 0405-  763 - 2012     dtd 04 May 2012 On 041115 May 2012, One (1) squad from 8SFC, 3SFBn led by SSg  Renato A Calumpit 786625 (Inf) PA on board one (1) KM450 truck while travelling towards Headquarters, 8SFC in Brgy Cuyago, Jabonga, Agusan del Norte were flagged down by a concerned citizen who reported the presence of a suspected drug pusher at vicinity Brgy Los Angeles, Butuan City. ",
EMC05753,EASTMINCOM ,REGION 12,NORTH COTABATO ,ENEMY EXTORTION,6ID ,6DTOC-1005-308-12 ,11 May 2012,"On 101600 May 2012, Belated report: On or about 101600 May 2012, a transient mixer truck owned by  ACJ construction resources with plate nr. LPD 596 ADRIVEN BY Eduardo F Lavega resident of Bansalan Davao del Sur was forcibly taken by six (6) undentified persons at vic Brgy Malatab, Antipas, North Cotabato and  allegedly heading towards So Lamanan, Brgy South Sarayan, Matalam, Noth Cotabato.Action Taken:",,,,,,,,"Acoy, 57TH IB coordinated with PNP Antipas and info pass to 68TH IB for appropriate action. Likewise, operatives of 46MICO conducted investigation in the area. Progress report to follow",
EMC05765,EASTMINCOM ,REGION 12,NORTH COTABATO ,RECOVERY OF CADAVERS,6ID ,6DTOC-1305-312-2012 ,13 May 2012,"On 122100 May 2012, two (2) persons identified as Marlon Oguel Sulotan, 35 years old, married, farmer, Brgy Defense System (BDS) President and certain Randy Oguel Sulotan (brother), 32 years, married, farmer both residents of Purok Eden, Brgy Cabilao (51N YH  37356  58619), Makilala, North Cotabato were found dead at the remote area going towards Brgy Cabilao of same municipality. Further info obtained states that the duo were captured by unidentified fully armed group believed to be members of NPA. Afterwhich, they were shot to death using unknown FAs. At about 2400h same day, the cadaver of the victims were brought to Torreda Funeral Homes for proper disposition. Motive is believed to be connected to his present position as BDS President at said Brgy.  Action Taken:",,,,,,,,"OOA 122245h May 2012, Intel Operatives of 57IB coordinated with Intel Personnel of Makilala PNP regarding the said incident. ",
EMC05771,EASTMINCOM ,XI,DAVAO ORIENTAL ,SHOOTING,10ID ,10ID3-TOC-1405-149-12 ,14 May 2012,"On 131500 May 2012, On 131500 May 2012, Roland Floro Y Eballes AKA Arnel (former rebel) was shot to death by two (2) unidentified using Cal .45 pistol onboard black Honda XRM Motorcycle at vic Templo, Sitio Coog, Brgy Mahan-ub, Baganga, Davao Oriental.  ",,,,,,,"After the incident, the perpetrator withdrew towards Brgy Saoquegue of same municipality. Accordingly, the victim sustained gunshot wound at his chest and abdomen that resulted to his instantaneous death. Motive: Yet to be determined",,
16968,WESTMINCOM ,REGION IX,ZAMBOANGA SIBUGAY ,ENCOUNTER,WESTMINCOM ,WMC-0405-01 ,04 May 2012,"On 041410 May 2012, PNP elements engaged undetermined number of armed LLEs at National Hi-Way,  Brgy Tenan, Ipil, Zamboanga Sibugay. Firefight lasted for about five (5) minutes. Initial report of incidents negative casualty on both sides.Action Taken:",,,,,,,,"At about 041420H May 2012, PNP mobile and troops of 102Bde composed of two (2) officers and fourteen (14) enlisted personnel led by COL DULOS PA together with CPT ASUNCION PA aboard one (1) humvee jump off from Bde Hqs and proceed at encounter area to reinforce the engaged PNP elements and still thereat.",
16974,WESTMINCOM ,REGION XII,LANAO DEL NORTE ,EXPLOSION (GENERAL,1ID ,1DC-0505-2967-2012 ,06 May 2012,"On 051945 May 2012, an explosion occured at vic Roxas Ave beside El Centro Bar, Iligan City that resulted to two civilians killed and thirty injured.Civilian Side:",,,Injured  1. Arnold Tiongco   2. Joel Abriol   3. John Paul Ponce   4. Albert Gongob   5. James Dumalagang   6. Cabahug Frestelle   7. Danilo Gabrinab   8. Eric Salcedo   9. Aldrin Magsayo   10. Rey Soong   11. Sunny Mendez   12. Liziel Lubguban   13. Dawn Gapus   14. Jennifer Delos Santos   15. Abdul Gapur Maruhom   16. Anipa Makalngkad   17. Elmelita c Ibarat   18. Fer Mykeil Gonzales   19. Sherralyn Refuelo   20. Maribel Cabalit   21.  Earl Russel Revelo   22. Mahani Rose Tantho   23. Louie Jay Baliwag   24. Princess Erich Baliwag   25. Laila Lamela Candog   26. Marilou Aligno   27. Manuel Maramible   28. Ric Manego   29. Aliah Basani   30.     Dianne Gapus  Killed  1. Jonel Dumalagang   2. Djay Jangad ,,,,As of this report no witness has come out yet to identify the perpetrators. ,"One (1) dismount team from 4MECH under 1LT CHIONG PA onboard one (1) KM450 proceeded to the scene of incident to conduct mobile security patrol within the city proper. Likewise, all units to include CAA/SCAA dets were advised to be on double alert. Checkpoint operations were also intensified. Deployed S2 pers to gather additional info.",
16996,WESTMINCOM ,REGION IX,ZAMBOANGA DEL SUR ,RECOVERY OF IED,WESTMINCOM ,WMC 1105-03 ,11 May 2012,"On 101021 May 2012, anonymous information received by PO3 Jonathan Nodado of ZCPO Bomb Squad regarding the unrecovered explosives from the adjacent house were the premature explosion occurred last 071715 May 2012 at Baliwasan, Tabuk, ZC. PO3 Nodado informed PSI MEMORACION, OIC, ZCPO Bomb Squad and MAJ EBREO of 3EOD Det about this development and proceeded to the site to search for the said home-made explosive. At about 1100H, combined elements of 3EODand ZCPO Bomb Squad recovered the said explosives at the adjacent house about 10 mtrs from the explosion site.Items Recovered / Loss: ",,,,,,"Recovered 6,305 pcs - improvised non-electric blasting caps 1,600 pcs - empty tin can improvised tubing 1 Kilo - Yellowish colored powdered substance 1 Kilo - Light brown colored powdered substance 6 Kilo - Assorted substance 10 rolls - commercial safety fuse","Investigation conducted by joint AFP and PNP EOD elements revealed that the house were the explosive were found is also being rented by the couple, Anna Omal and Merhan Hadjid who confirmed their involvement in manufacturing explosives for blast fishings.During the raid the improvised non-electric blasting caps were discovered inside the bedroom of the said house concealed inside an ice case.",,
17029,WESTMINCOM ,ARMM,SULU ,HARASSMENT,WESTMINCOM ,WMC-1706-01 ,17 May 2012,"On 170250 May 2012, Hqs of MBLT2 located at Brgy Matatal, Maimbung, Sulu was harassed by undetermined number of of armed men coming from south portion. Negative casualty reported on both side.Action Taken:",,,,,,,,"Immediately, conducted GQ and manned respective battle position. Thereafter, one (1) Platoon from SOP2 led by 2LT PRANES PN (M) was deployed and scoured the immediate vicinity of the Bn Hqs to as certain possible enemy traces. Progress report to follow.",
17041,WESTMINCOM ,REGION IX,BASILAN ,RECOVERY OF UXO,WESTMINCOM ,WMC-1805-06 ,18 May 2012,"On 170800 May 2012, SFTM 1301 led by SSg Zaide M Caling 789630 (Inf) PA while conducting security/combat patrol at vic Jungle Base, Baiwas, Sumisip, Basilan recovered one (1) ammo of RPG believed to be left by the enemy.Items Recovered / Loss: ",,,,,,Recovered 1 - Ammo of RPG,,"Said ammo was deposited at H13SFC, 4SFB, Brgy Canas, Maluso, BP for safekeeping.",
17045,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,1ID ,1DC 1905-3104-2012 ,20 May 2012,"On 190530 May 2012, Composite teams  from 4SFBn composed of one (1) SFTM from 14SFC under 2LT ARCHIEMENDES C ARANAS (INF) PA and one (1) SFTM from 15SFC under 2LT SEDON while conducting strike operations encountered MOL (5) fully armed LLEs led by Julhaspi @ PINGJULDAM at vic Brgy Canibungan, Lantawan, BP. Firefight lasted for about fifteen (15) minutes then the enemy withdrew towards southwest direction.Action Taken:",,,,,,,,Said troops scoured the area.,
17060,WESTMINCOM ,REGION IX,ZAMBOANGA SIBUGAY ,EXPLOSION IED,WESTMINCOM ,WMC-2205-01 ,22 May 2012,"On 212120 May 2012, ,unidentified explosive exploded near the house of Arnold Castillo located at Purok , Mauswagon, Brgy Poblacion, Titay, ZSP. No reported casualty on both side.Action Taken:",,,,,,,,"OOA 2136H same day. Intel  Operatives of 44IB proceeded towards Poblacion, Titay, ZSP to verify and conduct initial   investigation re the incident.",
17064,WESTMINCOM ,REGION IX,ZAMBOANGA SIBUGAY ,EXPLOSION (GENERAL,WESTMINCOM ,WMC 2305-01 ,23 May 2012,"On 230245 May 2012, a fragmentation grenade exploded at the carnival area, Purok Rosal, Pob., Imelda, ZSP. Base on the PNP investigation the grenade exploded under the table where the victims were sleeping inside one of the make shift tents of the carnival.Civilian Side:",,,Killed  Leo Lyndon Maghuyop Wounded  Baltazar Hilario  Jonamae Antin Operario  Jomarie Antin Operario  Novelyn Angcon  Antin  Jonathan Tomas Basinag,,,,,"At about 0530H, 34th EOD team and troops of 102Bde were dispatched to assist the MPS of Imelda and conducted post blast investigation. Said troops are still in the area.",
16976,NOLCOM ,CAR,KALINGA ,ENCOUNTER,NOLCOM ,CN-0674-05-05-12 ,06 May 2012,"On 051425 May 2012, 1/A/21IB under 1LT CALUNSAG PA encountered MOL five (5) LLEs under unknown leader at vic Brgy Poswoy, Balbalan, Kalinga. No casualty was reported on both sides.Action Taken:",,,,,,,,1/A/21IB under 1LT CALUNSAG PA csoured the vicinity of the encounter site while the other supporting units established pursuit and blocking position along the enemy route of withdrawal.,
16978,NOLCOM ,REGION III,TARLAC ,SURRENDER,NOLCOM ,NLOC-06-05-12 ,06 May 2012,"On 060745 May 2012, One (1) Pltn minus of B Coy 24IB under 1LT NIMROD CHRISO B LUGO (INF) PA and one (1) Pltn minus of H24IB under  1LT SALVADOR S VALENZUELA JR (INF) PA while conducting combat operation at Brgy Maamot San Jose, Tarlac, a certain Pepito Mananga Y Halili, a resident of So. Tangan-Tangan of same Brgy voluntarily surrended one (1) Garand with SN 1755605. Firearms Gains:",,,,Surrender 1 - Garand Rifle (sn: 1755605),,,,Said troops are still scouring/clearing the area.,
17014,NOLCOM ,CAR,ABRA ,SURRENDER,NOLCOM ,NLCOC-13-05-12 ,13 May 2012,"On 120630 May 2012, One (1) CT member Ruben T Pasingan @ Recto (NOBL) of BAGGAS under CTL Gabriel Kennedy @ Sly/Akbaran/Nlai operating in Pinukpuk and Balbalan, both of Kalinga Province, voluntarily surrendered with firearm  to LTC NOEL T BALUYAN (INF) GSC PA CO, 41IB, 5ID, PA at MCP 41IB.Result:  Surrendered   Ruben T Pasingan – CT memberFirearms Gains:",,,,Surrendered 1 - M16 rifle (COLT) (sn: 4951907),,,,"a.  Subject CT member was neutralized through the implementation of COPLAN 41IBA-2012-02 CODENAME: ""TANDEM THRUST"" and is now in the custody of 41IB for the conduct of custodial debriefing.b.  Said CT was fetched from Brgy Ballayangon, Pinukpuk, Kalinga and was brought to ACP 41IB, Brgy Tagodtod, Lagangilang, Abra.",
17068,NOLCOM ,REGION III,ZAMBALES ,DISCOVERY OF ENEMY CAMP,7ID ,7DTOC-23-05-12-108 ,23 May 2012,"On 231630 May 2012, On or about 230545 May 2012,one (1) Platoon (-) minus under 1LT WILSON H USMAN JR (MI) PA Intel officer of H24IB while conducting combat operation, discovered one (1) week abandoned  enemy encampment at So Bunga, Brgy Salaza, Palauig,Zambales, 51P ST 792137 that can accommodate more or less fifty (50) persons. Action Taken:",,,,,,,,Said troops still scouring/clearing the area.,
